Case ID,Interaction ID,Channel Type,Subject,Reason,Type,Open Date,Closed Date,Case Status,Neighbourhood,Ward,Geometry
b624a11dfbe78dd9bac4f73d47853212f630788bf17553805b9f5c52a03898eb,101007513226,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,07/29/2014 10:08:00 AM,08/13/2014 03:57:00 PM,Closed,Rossmere-A,North Kildonan,POINT (-97.080027952969 49.937462927133)
b631c4682f23bdeadd5423eeb221202cea7212bdf0fa8dca00d72ea2ee287e2f,101007536062,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/06/2014 06:45:00 AM,11/09/2020 08:30:00 AM,Closed,Norwood West,St. Boniface,POINT (-97.128179551796 49.872335352138)
829a6a4c02c91e73894a50306c872036b103bf5781440b19d1c3558ca9e05e6f,101014415676,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,02/18/2022 01:56:00 PM,03/02/2022 09:04:00 AM,Closed,Glenwood,St. Vital,POINT (-97.099616732769 49.866573418607)
a64e26f0e7faad3736194c1acfc9f67d06a5aa26c99d96b902526812b1087d13,101015360176,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,07/07/2023 10:05:00 AM,07/07/2023 10:19:00 AM,Closed,Canterbury Park,Transcona,POINT (-96.969761061119 49.901049790875)
3a8d31738239b6fd8aef252cc3c39e481071fd15f47f502a286d32dcab16039f,101015481949,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,09/06/2023 02:08:00 PM,10/03/2023 10:55:00 AM,Closed,Valley Gardens,Elmwood - East Kildonan,POINT (-97.066770892378 49.923760255808)
5fa263cc2d3c077aabb7388de1e609a3689e2624978e0f2a6eb02fcc98cbb04e,101014132712,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/13/2021 05:32:00 AM,08/30/2021 10:24:00 AM,Closed,Sargent Park,Daniel McIntyre,POINT (-97.185942903399 49.903775316914)
f2a2ac7a132cb992f1e2ec28af0e2f21d715afc6ea97d4bd63030748129fbd0b,101013770275,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,01/07/2021 11:03:00 AM,01/21/2021 07:05:00 AM,Closed,Linden Woods,River Heights - Fort Garry,POINT (-97.190815062296 49.829008525867)
26cd753d89caeae8f0de6b6ff2b1c87e0f6097f92ff573f8909e16ea48fe16c9,101013977585,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/05/2021 01:16:00 PM,08/24/2021 02:35:00 PM,Closed,Glenelm,Elmwood - East Kildonan,POINT (-97.120304684622 49.916992049011)
8520fc3c4fc588149b5f305a9fd4e46c3199f7e10fa6ee03a4476227ce258cff,101013799992,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,01/24/2021 12:08:00 PM,11/07/2022 02:08:50 PM,Closed,Civic Centre,Point Douglas,POINT (-97.139969778966 49.899985489983)
b1bf49673e24548a2a0b8568b8f646c358194c2e5a0a969591180a4ac89562b6,101013976991,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/05/2021 09:24:00 AM,05/20/2021 11:33:00 AM,Closed,Templeton-Sinclair,Old Kildonan,POINT (-97.138027953373 49.954884807998)
