Roll Number,Street Number,Unit Number,Street Name,Street Type,Full Address,Neighbourhood Area,Property Use Code,Zoning,Total Assessed Value,Assessment Date,Detail URL,Current Assessment Year,Status 1,Geometry,Centroid Lat,Centroid Lon
12080201000,1430,,PORTAGE,AVENUE,1430 PORTAGE AVENUE,WOLSELEY,PIRPK - PARK WITH BUILDING,PR1 - PRKS&REC-PASSIVE,3130000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/asmtpub/english/propertydetails/CommercialDetails.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080201000,2026,EXEMPT,"MULTIPOLYGON (((-97.19095901066672 49.87922629107446, -97.19119195819194 49.879233797943016, -97.19118245478582 49.879356949468, -97.19117802258666 49.87941437893413, -97.1916862323464 49.87943069983799, -97.19230729060516 49.87945064177148, -97.19218102564957 49.88105488727819, -97.19264620820402 49.881152609595794, -97.1928984739588 49.8816123118651, -97.19390980999653 49.881416908863, -97.19412030834138 49.87878218621161, -97.19409394357793 49.87878157935631, -97.19407027034802 49.87878930601725, -97.19400011742944 49.878800446181906, -97.1939801937558 49.878800945299574, -97.19396378327322 49.87879682175605, -97.19389573419954 49.87879261319521, -97.19382573910313 49.878792062218864, -97.19380863306114 49.87878792781475, -97.19378441400383 49.878772978522036, -97.19359638982132 49.87874234383033, -97.19339248999987 49.87871191114182, -97.19333829863868 49.87871682328795, -97.19330688395729 49.8787119260843, -97.19313902405774 49.87867063104993, -97.19304591324202 49.87865541721675, -97.19296540454216 49.87864939477206, -97.19283854796093 49.8786618989636, -97.19266507331537 49.878662882136545, -97.1926141297368 49.87864418774248, -97.19258615612314 49.87864033344886, -97.19251876605706 49.87863712380333, -97.19248981865289 49.8786332543013, -97.1924784131305 49.87862929854381, -97.19245287875293 49.87861603750838, -97.19240725292883 49.87860777019649, -97.19237331576852 49.878611717760414, -97.19226464426025 49.878624615557754, -97.19212122813215 49.87863326270191, -97.19207627922302 49.87862923346641, -97.19204475919902 49.878623434776756, -97.19193239299992 49.87859829505424, -97.19163038779335 49.87853736498968, -97.1916024406541 49.878540257119525, -97.19159007908611 49.87854699040603, -97.19157532656155 49.87856555978533, -97.19156398807108 49.878585891478316, -97.19153560004511 49.878589406363304, -97.19148824737866 49.8785901067442, -97.1914755448557 49.87858361205132, -97.19144081888965 49.878551857580035, -97.19137498986733 49.878521776580115, -97.19135596816166 49.878520490320426, -97.19129075182803 49.878522441027066, -97.19124706315182 49.87851974350445, -97.19124135816166 49.878518162209005, -97.19120780931388 49.87850333663273, -97.19117606302166 49.878499872874464, -97.19112602023802 49.87850179042641, -97.19101578812074 49.878490631659666, -97.19095901066672 49.87922629107446)))",49.87984269851058,-97.19286657287861
12080240200,1420,,PORTAGE,AVENUE,1420 PORTAGE AVENUE,WOLSELEY,PIICH - CHURCH,R2 - RES - TWO FAMILY,3144000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/asmtpub/english/propertydetails/CommercialDetails.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080240200,2026,TAXABLE,"MULTIPOLYGON (((-97.19158825669882 49.881581284478116, -97.19130024048582 49.88157197110822, -97.19101222304502 49.88156265610315, -97.19097978045782 49.88198299947573, -97.19127288740478 49.88192637341235, -97.19156599365014 49.88186974749858, -97.1928984739588 49.8816123118651, -97.19264620820402 49.881152609595794, -97.19218102564957 49.88105488727819, -97.19185981550484 49.88098740775296, -97.19164372349177 49.88086258985733, -97.19158825669882 49.881581284478116)))",49.881476930919796,-97.19195076057339
12080250500,,,RAGLAN,ROAD,RAGLAN ROAD,WOLSELEY,VRES1 - VACANT RESIDENTIAL 1,R2 - RES - TWO FAMILY,518000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/asmtpub/english/propertydetails/CommercialDetails.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080250500,2026,EXEMPT,"MULTIPOLYGON (((-97.19107262988514 49.880779986349204, -97.19158089687068 49.88079636447829, -97.19164866509504 49.880798547929274, -97.19164372349177 49.88086258985733, -97.19185981550484 49.88098740775296, -97.19218102564957 49.88105488727819, -97.1923072905909 49.87945064178025, -97.1916862323464 49.87943069983799, -97.19117802257276 49.87941437893391, -97.19107262988514 49.880779986349204)))",49.88016138620017,-97.19170538112058
12080260000,542,,RAGLAN,ROAD,542 RAGLAN ROAD,WOLSELEY,RESSD - DETACHED SINGLE DWELLING,R2 - RES - TWO FAMILY,305000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/AsmtPub/english/propertydetails/details.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080260000,2026,TAXABLE,"MULTIPOLYGON (((-97.19102616382078 49.881382040097265, -97.19101560248689 49.88151886993977, -97.19152385465205 49.881535293026026, -97.1915344161813 49.88139845685055, -97.19102616382078 49.881382040097265)))",49.88145866504821,-97.19127501124208
12080261000,538,,RAGLAN,ROAD,538 RAGLAN ROAD,WOLSELEY,RESSD - DETACHED SINGLE DWELLING,R2 - RES - TWO FAMILY,364000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/AsmtPub/english/propertydetails/details.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080261000,2026,TAXABLE,"MULTIPOLYGON (((-97.19102616382078 49.881382040097265, -97.1915344161813 49.88139845685055, -97.19154497621575 49.881261621547644, -97.19103672372704 49.881245209329364, -97.19102616382078 49.881382040097265)))",49.881321832006435,-97.19128557138735
12080262000,528,,RAGLAN,ROAD,528 RAGLAN ROAD,WOLSELEY,RESSD - DETACHED SINGLE DWELLING,R2 - RES - TWO FAMILY,386000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/AsmtPub/english/propertydetails/details.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080262000,2026,TAXABLE,"MULTIPOLYGON (((-97.19104728492096 49.881108379477446, -97.19103672372704 49.881245209329364, -97.19154497621575 49.881261621547644, -97.19155553760505 49.88112478536273, -97.19104728492096 49.881108379477446)))",49.88118499899905,-97.19129613257404
12080263000,522,,RAGLAN,ROAD,522 RAGLAN ROAD,WOLSELEY,RESSD - DETACHED SINGLE DWELLING,R2 - RES - TWO FAMILY,376000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/AsmtPub/english/propertydetails/details.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080263000,2026,TAXABLE,"MULTIPOLYGON (((-97.19105784468728 49.88097154870013, -97.19104728492096 49.881108379477446, -97.19155553760505 49.88112478536273, -97.19156609753314 49.88098794915143, -97.19105784468728 49.88097154870013)))",49.8810481657329,-97.1913066928656
12080264000,,,RAGLAN,ROAD,RAGLAN ROAD,WOLSELEY,VRES1 - VACANT RESIDENTIAL 1,R2 - RES - TWO FAMILY,283000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/asmtpub/english/propertydetails/CommercialDetails.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080264000,2026,EXEMPT,"MULTIPOLYGON (((-97.19106840577483 49.88083471793981, -97.19105784468728 49.88097154870013, -97.19156609753314 49.88098794915143, -97.19157665735767 49.88085111383438, -97.19106840577483 49.88083471793981)))",49.880911332487564,-97.19131725272982
12080264500,,,RAGLAN,ROAD,RAGLAN ROAD,WOLSELEY,VRES1 - VACANT RESIDENTIAL 1,R2 - RES - TWO FAMILY,230000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/asmtpub/english/propertydetails/CommercialDetails.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080264500,2026,EXEMPT,"MULTIPOLYGON (((-97.19107262988514 49.880779986349204, -97.19106840577483 49.88083471793981, -97.19157665735767 49.88085111383438, -97.19158089687068 49.88079636447829, -97.19107262988514 49.880779986349204)))",49.88081554597926,-97.19132466157677
12080265000,1338,,WOLSELEY,AVENUE,1338 WOLSELEY AVENUE,WOLSELEY,RESSD - DETACHED SINGLE DWELLING,R2 - RES - TWO FAMILY,1385000.00,04/01/2023 12:00:00 AM,http://www.winnipegassessment.com/AsmtPub/english/propertydetails/details.aspx?pgLang=EN&isRealtySearch=true&RollNumber=12080265000,2026,TAXABLE,"MULTIPOLYGON (((-97.19051852774297 49.879212094759765, -97.19095901066672 49.87922629107446, -97.19101578812074 49.878490631659666, -97.19080318525411 49.87847309502598, -97.19065158385557 49.87845867534154, -97.19057797082063 49.878441977523266, -97.19051852774297 49.879212094759765)))",49.878844994873546,-97.19076621390337
