Folder RSN,Folder Status,Indate,Month,End Date,Complaint Source,NBHD Number,Complaint Type 1,Complaint Type 2,Complaint Type 3,Orders Generated,Number of No Folders,Ward
1128256,Closed,06/08/2015,JUN,06/09/2015,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1129988,Closed,06/14/2015,JUN,06/18/2015,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1130334,Closed,06/15/2015,JUN,06/17/2015,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1132081,Closed,06/22/2015,JUN,06/22/2015,City-CBES,WOLSELEY,Vegetation,InteriorDefects,,Yes,3,Daniel McIntyre
1132577,Closed,06/23/2015,JUN,06/24/2015,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1133080,Closed,06/25/2015,JUN,06/26/2015,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1134412,Closed,07/01/2015,JUL,07/02/2015,311 Complaint,WOLSELEY,Vegetation,MosquitoControl,,Yes,1,Daniel McIntyre
1134413,Closed,07/01/2015,JUL,07/02/2015,311 Complaint,WOLSELEY,Vegetation,MosquitoControl,,No,0,Daniel McIntyre
1134760,Closed,07/02/2015,JUL,07/09/2015,311 Complaint,WOLSELEY,Vegetation,Other,,No,0,Daniel McIntyre
1136419,Closed,07/10/2015,JUL,07/10/2015,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1137307,Closed,07/14/2015,JUL,07/16/2015,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1138474,Closed,07/19/2015,JUL,07/20/2015,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1140433,Closed,07/25/2015,JUL,07/27/2015,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1148698,Closed,08/29/2015,AUG,09/08/2015,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,2,Daniel McIntyre
1148699,Closed,08/29/2015,AUG,10/08/2015,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1149564,Closed,09/02/2015,SEP,09/02/2015,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1149567,Closed,09/02/2015,SEP,09/03/2015,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1149792,Closed,09/02/2015,SEP,09/03/2015,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1149974,Closed,09/03/2015,SEP,09/09/2015,311 Complaint,WOLSELEY,Vegetation,Other,,Yes,1,Daniel McIntyre
1151646,Closed,09/11/2015,SEP,10/08/2015,311 Complaint,WOLSELEY,Vegetation,Weeds,LitterDogFeces,Yes,1,Daniel McIntyre
1155227,Closed,09/28/2015,SEP,09/28/2015,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1201976,Closed,05/26/2016,MAY,05/26/2016,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1201979,Closed,05/26/2016,MAY,05/26/2016,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1201981,Closed,05/26/2016,MAY,05/26/2016,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1201982,Closed,05/26/2016,MAY,05/26/2016,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1201983,Closed,05/26/2016,MAY,05/26/2016,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1206829,Closed,06/09/2016,JUN,06/10/2016,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1208832,Closed,06/16/2016,JUN,06/16/2016,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1211539,Closed,06/25/2016,JUN,06/27/2016,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1212924,Closed,06/30/2016,JUN,07/06/2016,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1214282,Closed,07/06/2016,JUL,07/06/2016,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1216950,Closed,07/15/2016,JUL,07/20/2016,311 Complaint,WOLSELEY,Vegetation,Vegetation,,Yes,1,Daniel McIntyre
1222371,Closed,08/05/2016,AUG,08/08/2016,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1222372,Closed,08/05/2016,AUG,08/08/2016,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1222763,Closed,08/08/2016,AUG,08/08/2016,City-CBES,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1287166,Closed,05/25/2017,MAY,05/25/2017,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1288426,Closed,05/30/2017,MAY,07/07/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1293892,Closed,06/19/2017,JUN,06/23/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,LitterGarbage,Yes,2,Daniel McIntyre
1294057,Closed,06/19/2017,JUN,06/23/2017,311 Complaint,WOLSELEY,Vegetation,,,Yes,2,Daniel McIntyre
1297320,Closed,06/30/2017,JUN,08/30/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1297705,Closed,07/02/2017,JUL,10/31/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1300043,Closed,07/11/2017,JUL,10/10/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1303277,Closed,07/24/2017,JUL,10/13/2017,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1304764,Closed,07/29/2017,JUL,08/09/2017,311 Complaint,WOLSELEY,Vegetation,ExteriorDefects,PropertySafety,Yes,2,Daniel McIntyre
1306541,Closed,08/04/2017,AUG,11/06/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1308585,Closed,08/15/2017,AUG,11/07/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1313383,Closed,09/01/2017,SEP,10/02/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1318805,Closed,09/26/2017,SEP,10/11/2017,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1319846,Closed,09/29/2017,SEP,10/02/2017,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1372681,Closed,05/31/2018,MAY,06/01/2018,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1373710,Closed,06/05/2018,JUN,06/05/2018,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1377955,Closed,06/18/2018,JUN,06/22/2018,311 Complaint,WOLSELEY,Vegetation,,,Yes,0,Daniel McIntyre
1378588,Closed,06/19/2018,JUN,09/06/2018,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1379141,Closed,06/21/2018,JUN,08/13/2018,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1381697,Closed,06/28/2018,JUN,06/29/2018,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1382384,Closed,07/02/2018,JUL,07/03/2018,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1383363,Closed,07/05/2018,JUL,08/13/2018,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1383715,Closed,07/05/2018,JUL,08/14/2018,311 Complaint,WOLSELEY,Vegetation,Other,,No,0,Daniel McIntyre
1384210,Closed,07/08/2018,JUL,09/06/2018,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1384211,Closed,07/08/2018,JUL,08/13/2018,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1396957,Closed,08/18/2018,AUG,09/24/2018,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1397804,Closed,08/21/2018,AUG,09/21/2018,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1412828,Closed,10/17/2018,OCT,10/17/2018,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1472519,Closed,06/07/2019,JUN,06/12/2019,311 Complaint,WOLSELEY,Vegetation,LitterGarbage,Other,Yes,2,Daniel McIntyre
1472826,Closed,06/09/2019,JUN,06/11/2019,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1473518,Closed,06/11/2019,JUN,06/24/2019,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1475894,Closed,06/17/2019,JUN,06/28/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1476415,Closed,06/17/2019,JUN,06/28/2019,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1477093,Closed,06/18/2019,JUN,07/04/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1477114,Closed,06/18/2019,JUN,07/04/2019,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1477278,Closed,06/19/2019,JUN,07/02/2019,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1477317,Closed,06/19/2019,JUN,06/19/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1477349,Closed,06/19/2019,JUN,07/02/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1479633,Closed,06/23/2019,JUN,07/02/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,No,0,Daniel McIntyre
1479635,Closed,06/23/2019,JUN,07/02/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1479692,Closed,06/23/2019,JUN,07/09/2019,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1480273,Closed,06/24/2019,JUN,07/09/2019,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1481522,Closed,06/26/2019,JUN,07/02/2019,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1489039,Closed,07/13/2019,JUL,07/17/2019,311 Complaint,WOLSELEY,Vegetation,,,No,0,Daniel McIntyre
1489146,Closed,07/14/2019,JUL,07/17/2019,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1489147,Closed,07/14/2019,JUL,07/17/2019,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1491244,Closed,07/18/2019,JUL,07/23/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1491766,Closed,07/19/2019,JUL,07/19/2019,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1496728,Closed,07/30/2019,JUL,07/31/2019,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1496941,Closed,07/30/2019,JUL,07/31/2019,311 Complaint,WOLSELEY,Vegetation,Weeds,,Yes,1,Daniel McIntyre
1498143,Closed,08/01/2019,AUG,08/06/2019,311 Complaint,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
1502075,Closed,08/12/2019,AUG,08/12/2019,City-CBES,WOLSELEY,Vegetation,,,Yes,1,Daniel McIntyre
