street_name,count,gardens,density,average_value
ALLOWAY,23,2,0.08695652173913043,430608.6956521739
ARLINGTON,126,13,0.10317460317460317,419880.95238095237
AUBREY,119,16,0.13445378151260504,321915.96638655465
BASSWOOD,53,7,0.1320754716981132,336867.92452830187
BROADWAY,9,0,0.0,297000.0
CAMDEN,48,4,0.08333333333333333,303333.3333333333
CANORA,72,16,0.2222222222222222,421541.6666666667
CHESTNUT,101,14,0.13861386138613863,364247.52475247526
CLIFTON,44,5,0.11363636363636363,304795.45454545453
CRAIG,61,5,0.08196721311475409,299426.2295081967
DOMINION,70,4,0.05714285714285714,418025.0
DUNDURN,27,0,0.0,368888.8888888889
ETHELBERT,65,30,0.46153846153846156,452800.0
EVANSON,123,24,0.1951219512195122,368467.2131147541
FAWCETT,25,3,0.12,301882.84
GARFIELD,89,28,0.3146067415730337,356577.77777777775
GREENWOOD,60,7,0.11666666666666667,491183.3333333333
HOME,113,19,0.168141592920354,422822.08175309736
HONEYMAN,25,3,0.12,330600.0
KNAPPEN,30,9,0.3,263900.0
LENORE,121,25,0.2066115702479339,397886.36363636365
LIPTON,133,8,0.06015037593984962,367646.6165413534
MARYLAND,29,0,0.0,549314.6551724138
NEWMAN,50,7,0.14,328520.0
PALMERSTON,79,10,0.12658227848101267,606493.6708860759
PICARDY,18,0,0.0,421722.22222222225
PORTAGE,41,1,0.024390243902439025,1371414.6341463414
PRESTON,13,5,0.38461538461538464,422293.9816666667
PURCELL,26,5,0.19230769230769232,348730.76923076925
RAGLAN,19,6,0.3157894736842105,527578.947368421
RUBY,117,19,0.1623931623931624,376632.4786324786
SHERBURN,108,23,0.21296296296296297,338037.037037037
SPRAGUE,50,1,0.02,367240.0
STILES,64,2,0.03125,294125.0
TELFER,59,5,0.0847457627118644,307203.3898305085
WALNUT,87,17,0.19540229885057472,337505.7471264368
WESTMINSTER,44,8,0.18181818181818182,446136.36363636365
WOLSELEY,134,7,0.05223880597014925,659440.2985074627
WOODROW,8,0,0.0,635793.75
