roll_number,full_address,has_garden,total_assessed_value,block_id,street_number,street_name,property_use_code,geometry,centroid_lat,centroid_lon
12090209000,11 ALLOWAY AVENUE,FALSE,446000,44,11,ALLOWAY,RESDU - DUPLEX,"MULTIPOLYGON (((-97.16159622354756 49.8838602258751, -97.16161567543595 49.883586606200865, -97.16148487515414 49.88358281937101, -97.16146741456082 49.88382950872925, -97.16150716329811 49.883857655742524, -97.16159622354756 49.8838602258751)))",49.8837195,-97.16154154
12090224000,14 ALLOWAY AVENUE,FALSE,2249000,44,14,ALLOWAY,RESAP - APARTMENTS,"MULTIPOLYGON (((-97.1617567933703 49.88340963164742, -97.16177650616515 49.8831360165053, -97.16163141870834 49.88313182177911, -97.16151701426611 49.88312851499472, -97.16149766425339 49.883402133335245, -97.16161207894241 49.88340544389616, -97.1617567933703 49.88340963164742)))",49.88326904,-97.161637
12090207000,19 ALLOWAY AVENUE,FALSE,299000,44,19,ALLOWAY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16174400231601 49.88359032127417, -97.16172446810154 49.88386392667719, -97.16185668065822 49.88386774168623, -97.16187621326547 49.88359414832832, -97.16174400231601 49.88359032127417)))",49.88372903,-97.16180034
12090223000,20 ALLOWAY AVENUE,FALSE,230000,44,20,ALLOWAY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16189307451094 49.883413575440414, -97.16191278679479 49.88313995643882, -97.16177650615123 49.88313601650507, -97.1617567933703 49.88340963164742, -97.16189307451094 49.883413575440414)))",49.8832748,-97.16183479
12090222000,22 ALLOWAY AVENUE,FALSE,349000,44,22,ALLOWAY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16203922859602 49.883417804207035, -97.16205894039004 49.88314418078719, -97.16191278680837 49.88313995644802, -97.16189307451094 49.883413575440414, -97.16203922859602 49.883417804207035)))",49.88327888,-97.16197601
12090206000,23 ALLOWAY AVENUE,FALSE,461000,44,23,ALLOWAY,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16203279209283 49.883598681332934, -97.16187621325156 49.88359414832809, -97.16185668065788 49.88386774169521, -97.16201327083377 49.88387226013213, -97.16203279209283 49.883598681332934)))",49.88373321,-97.16194474
12090205000,27 ALLOWAY AVENUE,FALSE,259000,44,27,ALLOWAY,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16216059513741 49.883602380168476, -97.16203279209283 49.883598681332934, -97.16201327083377 49.88387226013213, -97.16214111716825 49.883875949120984, -97.16216059513741 49.883602380168476)))",49.88373733,-97.16208694
12090194000,31 ALLOWAY AVENUE,FALSE,469000,44,31,ALLOWAY,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16214111715433 49.88387594912076, -97.16226867068787 49.88387962899966, -97.16228814707114 49.88360607222825, -97.16216059512348 49.883602380168256, -97.16214111715433 49.88387594912076)))",49.88374101,-97.16221463
12090221000,34 ALLOWAY AVENUE,FALSE,327000,44,34,ALLOWAY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16217907078898 49.88342185007553, -97.16219878201957 49.88314822328059, -97.16205894039004 49.88314418078719, -97.16203922861027 49.883417804198274, -97.16217907078898 49.88342185007553)))",49.88328301,-97.16211901
12090193000,35 ALLOWAY AVENUE,FALSE,250000,44,35,ALLOWAY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16228814707114 49.88360607222825, -97.16226867068787 49.88387962899966, -97.16239647668309 49.883883316257425, -97.16241595151213 49.88360977116387, -97.16228814707114 49.88360607222825)))",49.8837447,-97.16234231
