roll_number,full_address,has_garden,total_assessed_value,street_number,street_name,property_use_code,geometry,centroid_lat,centroid_lon
12081776000.0,1 LENORE STREET,False,232000.0,1.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17150633999906 49.877415947796585, -97.17189901050602 49.87742810442277, -97.17190457487162 49.87735241726572, -97.17151296374794 49.87732520261886, -97.17150633999906 49.877415947796585)))",49.877380120461005,-97.17169981000995
12082691000.0,1-130 ETHELBERT STREET,False,452000.0,130.0,ETHELBERT,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.1679152061011 49.880671003051745, -97.1675266792415 49.88066090534052, -97.16751822108665 49.88077503260498, -97.16790675110123 49.88078510790256, -97.1679152061011 49.880671003051745)))",49.88072301209607,-97.16771670800966
12082318000.0,1-156 EVANSON STREET,False,643000.0,156.0,EVANSON,RESTR - TRIPLEX,"MULTIPOLYGON (((-97.17075433751634 49.88213778577844, -97.17109303695909 49.8821481379357, -97.17109927975773 49.882062581449844, -97.17076059360241 49.88205222502017, -97.17075433751634 49.88213778577844)))",49.882100182771495,-97.17092681039902
12082580000.0,1-230 HOME STREET,False,504000.0,230.0,HOME,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16846992448545 49.8835734750644, -97.16889546808726 49.88358664048946, -97.1689021556344 49.883496319295425, -97.16847661553822 49.88348315574551, -97.16846992448545 49.8835734750644)))",49.88353489773442,-97.16868604162364
12082345000.0,1-273 EVANSON STREET,False,486000.0,273.0,EVANSON,RESDU - DUPLEX,"MULTIPOLYGON (((-97.17033900169139 49.88433314404729, -97.16999984194024 49.88432278339042, -97.16999381757122 49.88440489455945, -97.17033299703392 49.88441526453736, -97.17033900169139 49.88433314404729)))",49.88436902213569,-97.17016641752336
12097511500.0,1-547 NEWMAN STREET,False,232000.0,547.0,NEWMAN,VRES1 - VACANT RESIDENTIAL 1,"MULTIPOLYGON (((-97.1830534062627 49.88306495157089, -97.18342212610752 49.88301807837781, -97.18342813159843 49.88294104847558, -97.18303031112045 49.882928097544315, -97.18302105710532 49.88304686050227, -97.1830534062627 49.88306495157089)))",49.882989447952326,-97.18320688093118
12082176000.0,10 EVANSON STREET,False,328000.0,10.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17109391375934 49.877493389680566, -97.17108330656555 49.877638484564706, -97.17142138952664 49.877648996190736, -97.17143198189973 49.877503899139725, -97.17109391375934 49.877493389680566)))",49.87757119293872,-97.17125764822929
12097750000.0,10 PICARDY PLACE,False,741000.0,10.0,PICARDY,RESAP - APARTMENTS,"MULTIPOLYGON (((-97.16369307990463 49.886152007597026, -97.16369322108021 49.886151969664674, -97.1637119368596 49.88589576801415, -97.16350658387398 49.8859508545231, -97.16347446029309 49.88603663291367, -97.16346275834765 49.88606788009767, -97.16369307990463 49.886152007597026)))",49.88602094273714,-97.1636062875495
12082022000.0,10 RUBY STREET,False,351000.0,10.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17368135140494 49.87779150608699, -97.17368961157902 49.877682001476515, -97.17329694187272 49.877669719436945, -97.17328875042585 49.8777792261862, -97.17368135140494 49.87779150608699)))",49.877730611699455,-97.17348916394388
12082235000.0,100 ARLINGTON STREET,False,274000.0,100.0,ARLINGTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17023563025946 49.88033884376621, -97.1699088088301 49.880328830395904, -97.16990252151346 49.88041441223194, -97.17022935603914 49.880424425823975, -97.17023563025946 49.88033884376621)))",49.880376628338254,-97.17006907908258
12082191000.0,100 EVANSON STREET,False,407000.0,100.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17087190691464 49.8805298839263, -97.17121040825195 49.88054028214055, -97.1712166514426 49.88045470224796, -97.1708781647153 49.88044430158117, -97.17087190691464 49.8805298839263)))",49.880492292748045,-97.1710442818548
12082466000.0,100 HOME STREET,True,471000.0,100.0,HOME,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.1687404443461 49.8799211918894, -97.1687337572084 49.88001147535095, -97.16915923695466 49.880024840436484, -97.16916592547508 49.879934536287486, -97.1687404443461 49.8799211918894)))",49.87997301124864,-97.1689498491176
12081982000.0,100 LENORE STREET,False,313000.0,100.0,LENORE,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.17194249186294 49.88064808460641, -97.17233330825184 49.8806600577565, -97.17233838418957 49.880591614703974, -97.17194752509585 49.88057964024723, -97.17194249186294 49.88064808460641)))",49.880619848705344,-97.17214042739684
12081624000.0,100 LIPTON STREET,False,380000.0,100.0,LIPTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1746154350577 49.880335319090186, -97.17421565333765 49.8803231128087, -97.17421018288589 49.8803953710071, -97.174609957097 49.88040757810387, -97.1746154350577 49.880335319090186)))",49.88036534515523,-97.17441280758352
12090076000.0,100 MARYLAND STREET,False,1762000.0,100.0,MARYLAND,RESAP - APARTMENTS,"MULTIPOLYGON (((-97.16153446071483 49.881688776285735, -97.16110995519843 49.88167742349257, -97.16110170968534 49.88179387469886, -97.16152621780196 49.88180522216159, -97.16153446071483 49.881688776285735)))",49.881741324166626,-97.1613180842092
12081275000.0,100 SHERBURN STREET,False,307000.0,100.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17650139455856 49.879977687859544, -97.17688816495827 49.87998952236778, -97.1768950235096 49.87989919892402, -97.17650825939353 49.879887364534106, -97.17650139455856 49.879977687859544)))",49.879938443542734,-97.17669821056938
12082960000.0,100 WALNUT STREET,False,385000.0,100.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16410415533178 49.88100572942113, -97.16409748113365 49.88109695669216, -97.16449417598734 49.88110693960537, -97.16450088621004 49.881015713236316, -97.16410415533178 49.88100572942113)))",49.88105633404845,-97.164299174718
12081590000.0,1002 PALMERSTON AVENUE,False,627000.0,1002.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17465166088463 49.876579515044554, -97.1745882018774 49.876567921718106, -97.17437470610963 49.876535681626564, -97.17431600667503 49.87731567008077, -97.17459587215363 49.87732088285573, -97.17465166088463 49.876579515044554)))",49.87693745571021,-97.17448343854733
12081592000.0,1004 PALMERSTON AVENUE,False,590000.0,1004.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17459587214005 49.87732088284651, -97.17473665298888 49.87732350476905, -97.17479068251367 49.87660548753019, -97.17477786404133 49.87660257096288, -97.17465166087106 49.876579515035345, -97.17459587214005 49.87732088284651)))",49.87695718292353,-97.17469336044908
12081593000.0,1006 PALMERSTON AVENUE,False,463000.0,1006.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17473665298888 49.87732350476905, -97.17487707477089 49.87732611984107, -97.17491944092968 49.877327410725954, -97.17497067784711 49.87664647713188, -97.17496557248923 49.87664474494596, -97.17492893251932 49.87663694322919, -97.17479068251367 49.87660548753019, -97.17473665298888 49.87732350476905)))",49.876975487823856,-97.17485357484328
12082489000.0,101 HOME STREET,False,355000.0,101.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1680269121042 49.88008039827877, -97.1684474228842 49.88009346796313, -97.16845411410539 49.880003127912715, -97.16803360570253 49.879990052889426, -97.1680269121042 49.88008039827877)))",49.88004176173129,-97.16824051160174
12081696000.0,101 LIPTON STREET,False,339000.0,101.0,LIPTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17394431590614 49.88054198741257, -97.17395260872544 49.88043250306222, -97.17355092804789 49.88042023402692, -97.17354267612693 49.88052971719831, -97.17394431590614 49.88054198741257)))",49.88048110952279,-97.17374763301216
