street_name,count,gardens,garden_percent,avg_value
ALLOWAY,23,2,8.695652173913043,350095.2380952381
ARLINGTON,126,13,10.317460317460316,332636.36363636365
AUBREY,119,16,13.445378151260504,321855.9322033898
BASSWOOD,53,7,13.20754716981132,336867.92452830187
BROADWAY,9,0,0.0,297000.0
CAMDEN,48,4,8.333333333333332,303333.3333333333
CANORA,72,16,22.22222222222222,421541.6666666667
CHESTNUT,101,14,13.861386138613863,359590.0
CLIFTON,44,5,11.363636363636363,304795.45454545453
CRAIG,61,5,8.19672131147541,299426.2295081967
DOMINION,70,4,5.714285714285714,418025.0
DUNDURN,27,0,0.0,368888.8888888889
ETHELBERT,65,30,46.15384615384615,454301.5873015873
EVANSON,122,23,18.852459016393443,328170.9401709402
FAWCETT,25,3,12.0,301882.85714284
GARFIELD,90,28,31.11111111111111,356577.77777777775
GREENWOOD,60,7,11.666666666666666,394474.57627118647
HOME,113,19,16.8141592920354,414391.92176871427
HONEYMAN,25,3,12.0,330600.0
KNAPPEN,30,9,30.0,263900.0
LENORE,121,25,20.66115702479339,358220.5882352941
LIPTON,133,8,6.015037593984962,367646.6165413534
MARYLAND,29,0,0.0,318056.25
NEWMAN,50,7,14.000000000000002,328520.0
PALMERSTON,79,10,12.658227848101266,586474.358974359
PICARDY,18,0,0.0,330687.5
PORTAGE,41,1,2.4390243902439024,
PRESTON,12,4,33.33333333333333,390684.3434343636
PURCELL,26,5,19.230769230769234,348730.76923076925
RAGLAN,19,6,31.57894736842105,527578.947368421
RUBY,117,19,16.23931623931624,372513.04347826086
SHERBURN,108,23,21.296296296296298,338037.037037037
SPRAGUE,50,1,2.0,367240.0
STILES,64,2,3.125,294125.0
TELFER,59,5,8.47457627118644,306862.0689655172
WALNUT,87,17,19.54022988505747,337505.7471264368
WESTMINSTER,44,8,18.181818181818183,386096.77419354836
WOLSELEY,134,7,5.223880597014925,529322.3140495868
WOODROW,8,0,0.0,345050.0
