,roll_number,full_address,has_garden,total_assessed_value,street_number,street_name,property_use_code,geometry,centroid_lat,centroid_lon,n_s,position
11,12082466000.0,100 HOME STREET,True,471000.0,100.0,HOME,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.1687404443461 49.8799211918894, -97.1687337572084 49.88001147535095, -97.16915923695466 49.880024840436484, -97.16916592547508 49.879934536287486, -97.1687404443461 49.8799211918894)))",49.87997301124864,-97.1689498491176,South,Central
38,12081312000.0,103 SHERBURN STREET,True,292000.0,103.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17619432583953 49.88033042626226, -97.17620119409716 49.88024010301099, -97.17581441768465 49.88022826792249, -97.17580754450063 49.88031859197621, -97.17619432583953 49.88033042626226)))",49.88027934737707,-97.17600437018396,South,Central
40,12081436000.0,1031 PALMERSTON AVENUE,True,384000.0,1031.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17555140060573 49.8776891074977, -97.17554307552295 49.87779915457072, -97.17588128933669 49.877809496019694, -97.17566056783181 49.877662495984026, -97.17565514713519 49.877658896130555, -97.17564942940508 49.877655789611715, -97.17564345941982 49.8776532007562, -97.1756372839333 49.877651149838584, -97.17563095130876 49.87764965292062, -97.1756245111401 49.8776487217254, -97.17561801386343 49.87764836354558, -97.1756115103621 49.87764858118623, -97.17560505156824 49.877649372942905, -97.1755986880638 49.877650732614974, -97.1755924696845 49.877652649554165, -97.1755866777011 49.877655002065104, -97.17558110647842 49.87765783805825, -97.17557579628667 49.8776611370343, -97.17557078550931 49.87766487514742, -97.17556611036554 49.877669025377536, -97.1755618046485 49.87767355772573, -97.17555789948102 49.877678439431, -97.17555442309069 49.877683635207134, -97.17555140060573 49.8776891074977)))",49.87774369771475,-97.17566861732254,South,Central
47,12082919000.0,104 CHESTNUT STREET,True,358000.0,104.0,CHESTNUT,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16521804807209 49.88105818715004, -97.16561641320418 49.88107008324178, -97.16562344108544 49.88097700454402, -97.16522492074928 49.88096510383024, -97.16521804807209 49.88105818715004)))",49.881017591670215,-97.16542070600788,South,East
50,12082468000.0,104 HOME STREET,True,334000.0,104.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16872038423574 49.880192042289984, -97.16914586118253 49.880205449649395, -97.1691525497619 49.88011514550441, -97.16872707143239 49.88010175883246, -97.16872038423574 49.880192042289984)))",49.88015359932743,-97.16893647477464,South,Central
66,12081181000.0,1054 PALMERSTON AVENUE,True,935000.0,1054.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17653489157121 49.877985017702414, -97.17668257548259 49.8780833725887, -97.17739932181381 49.877633931510054, -97.17736889118338 49.87761534424548, -97.17732279995842 49.87759734904494, -97.17722831652097 49.877550201870314, -97.17653489157121 49.877985017702414)))",49.877813278515255,-97.1769619767924,South,Central
69,12081197000.0,1057 PALMERSTON AVENUE,True,350000.0,1057.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17662821410103 49.87830693667632, -97.17660432594053 49.87862173977526, -97.1767189890528 49.87869810674411, -97.17674287261666 49.878383296360184, -97.17662821410103 49.87830693667632)))",49.878502521091725,-97.1766736004647,South,Central
74,12081627000.0,106 LIPTON STREET,True,317000.0,106.0,LIPTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17459900108936 49.88055209614485, -97.17419924305828 49.88053988650038, -97.17419377230077 49.88061215902002, -97.17459352205542 49.88062436842425, -97.17459900108936 49.88055209614485)))",49.88058212739787,-97.17439638464116,South,Central
76,12081278000.0,106 SHERBURN STREET,True,335000.0,106.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17648079709048 49.880248657779894, -97.17686758776631 49.880260491765995, -97.17687444640796 49.88017016832834, -97.17648766340703 49.88015833448244, -97.17648079709048 49.880248657779894)))",49.88020941323735,-97.17667762362292,South,Central
78,12081183000.0,1062 PALMERSTON AVENUE,True,776000.0,1062.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1776900499813 49.87783354959183, -97.17762019359063 49.87777275050989, -97.17759402207282 49.87775434900354, -97.17755927504555 49.8777245931812, -97.17683025999388 49.87818172729189, -97.17697794510508 49.87828008181203, -97.1776900499813 49.87783354959183)))",49.87800463325011,-97.17726438710145,South,Central
